fold,score,n_sample,source,sub_name,filename,accuracy_train,accuracy_test,hidden states T-3,hidden states T-2,hidden states T-1
0,0.7039438144847321,1648,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.33676713705062866,0.4801681339740753,0.5303561091423035
0,0.6819508741176978,2665,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.33789780735969543,0.4843670725822449,0.5344049334526062
0,0.6135937644274947,1734,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.3336009979248047,0.5069330930709839,0.5781773328781128
0,0.5974036939544644,2579,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.33680859208106995,0.5105160474777222,0.5809444189071655
0,0.6155957854777899,1512,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.35126128792762756,0.5253580212593079,0.5841113924980164
0,0.4581665011976451,2801,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.35109347105026245,0.5252714157104492,0.5928378701210022
0,0.5828861034936527,1618,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.30207496881484985,0.45240721106529236,0.5174214243888855
0,0.519257125690012,2695,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.3028002977371216,0.451656311750412,0.514894962310791
0,0.5546129924893062,1715,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.280682235956192,0.44151076674461365,0.5220291018486023
0,0.5328813782720605,2598,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.2778995931148529,0.43595507740974426,0.5179453492164612
0,0.5924485544570536,1675,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.28434252738952637,0.45553889870643616,0.547387421131134
0,0.5755663123000447,2638,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.2787463963031769,0.45010215044021606,0.5427958965301514
0,0.5621676339688035,1590,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.35013827681541443,0.5278094410896301,0.5971936583518982
0,0.5544314828198889,2723,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.350615918636322,0.5283482670783997,0.5949376821517944
0,0.5613846464180683,1605,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.2767985165119171,0.4296914041042328,0.5076690316200256
0,0.5472766661345392,2708,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.27452534437179565,0.4319007098674774,0.5109360814094543
0,0.5604426954983694,1574,cognitive,10,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.3356310725212097,0.493516743183136,0.5513531565666199
0,0.5715124795051347,2739,cognitive,10,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.3362918198108673,0.49511680006980896,0.5549836754798889
0,0.5997208708620536,1363,cognitive,11,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.22859293222427368,0.3624385595321655,0.4410642683506012
0,0.5768809896150886,2950,cognitive,11,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.21847061812877655,0.35633784532546997,0.4378671646118164
0,0.6198454895330421,1298,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.34679803252220154,0.516642689704895,0.5819908380508423
0,0.566879276433167,3015,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.3413534164428711,0.5148478746414185,0.5830155611038208
0,0.5194262703006436,887,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.31823134422302246,0.48269960284233093,0.5477939248085022
0,0.5204719274784049,2346,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.32076308131217957,0.4812394082546234,0.548457682132721
0,0.596753085327056,1270,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.3038777709007263,0.47555306553840637,0.5598978996276855
0,0.5808800617532637,1963,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.30012547969818115,0.4722885489463806,0.5570806860923767
0,0.5813274057322576,945,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.353442519903183,0.5384671688079834,0.6095823049545288
0,0.5739112877051523,2288,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.3501628339290619,0.534313440322876,0.6072719097137451
0,0.7349839179505911,1241,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.3480721414089203,0.5289698243141174,0.5994230508804321
0,0.7444685051412985,1992,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.3465064764022827,0.5296064019203186,0.6034024953842163
0,0.6175386446634621,1129,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.34093496203422546,0.4944007098674774,0.5449652075767517
0,0.6771972852746184,2104,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.3401309847831726,0.49203768372535706,0.5472018122673035
0,0.5781121291101632,1205,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.3203650414943695,0.48936575651168823,0.5681889057159424
0,0.5421650845617345,2028,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.3222922384738922,0.49263712763786316,0.5651578903198242
0,0.5288474927276786,999,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.2421501874923706,0.38843587040901184,0.4719308614730835
0,0.5228840828326534,2234,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.238322913646698,0.3830065429210663,0.4647497236728668
0,0.5431185528336515,911,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,0,0.2583235800266266,0.4230803847312927,0.511243462562561
0,0.5215596509621065,1674,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,0,1,0.26572951674461365,0.42505672574043274,0.5158162713050842
0,0.48489019138275075,1192,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.31294605135917664,0.4739660918712616,0.5458399057388306
0,0.5174673206415942,2041,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3194025754928589,0.4805276691913605,0.5441091656684875
0,0.5233005874951684,1361,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.33225157856941223,0.4789763391017914,0.5303946733474731
0,0.5217754215796853,1872,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3331441283226013,0.47954311966896057,0.5329626798629761
0,0.5361778603338844,1107,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.15229353308677673,0.2605530917644501,0.3398147523403168
0,0.5191212163397408,2126,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.1434115171432495,0.2574567198753357,0.343221515417099
0,0.5766860020029563,1259,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.31302422285079956,0.4692738652229309,0.5365903377532959
0,0.5812056357515424,1974,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.31215593218803406,0.470867782831192,0.5376818180084229
0,0.635418655787512,1033,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.33032211661338806,0.5159362554550171,0.5934041738510132
