experiment,condition,slope,model,accuracy
data_Bang_2019_Exp1,RF_correct,0.021110365452320264,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02110023952078838,RF,correct
data_Bang_2019_Exp1,RF_correct,0.0212648151495703,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021232472016966947,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021223813952860503,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021286145929958665,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021046962670069662,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02124342800331597,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021199830931301473,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021273808112339004,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02123263957691894,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021248409950333367,RF,correct
data_Bang_2019_Exp1,RF_correct,0.0212819544162151,RF,correct
data_Bang_2019_Exp1,RF_correct,0.020868755973161235,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02120653574912491,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021133779014449385,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02129798093619499,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021232844665778808,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02122498994283874,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02128504820079305,RF,correct
data_Bang_2019_Exp1,RF_correct,0.0209031843079865,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02124703365382129,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021163655988655168,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021243587137091367,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021232633887102996,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02124649799576206,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021360086829953957,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02127943809568594,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021338419884969026,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02124608693839381,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021283195989778295,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021233314927020037,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02120997922213181,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021153444752025796,RF,correct
data_Bang_2019_Exp1,RF_correct,0.020802710532575795,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02134569642749453,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02125515034827149,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021325632293104302,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021233694385802113,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021200403161368078,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021220221193262594,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02078063514988619,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021360755369272556,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02122774739137696,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021214936164791948,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021232520460218913,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021309046203959948,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02140243264318408,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021021383859863425,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021288862542568066,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021175889272825266,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021147119153771154,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02123536241943665,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02140400870079211,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02162042826126644,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02171455461415619,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021338271086210305,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02117576974966911,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021259894986663985,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02123277284484127,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021234787376157898,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021283056613798725,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02109324557144205,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02137123545006001,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02126355631230204,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021227837609442933,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021232501200647697,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021306145158477074,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021440281097337806,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02126091478489551,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021224039005591985,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021123820194100678,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021193759933345758,RF,correct
data_Bang_2019_Exp1,RF_correct,0.0212326086680117,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021288012787321044,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021405459604770104,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021372122987363285,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021350636468040772,RF,correct
data_Bang_2019_Exp1,RF_correct,0.02117386533172386,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021274136114280907,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021232463032707274,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021164100437004355,RF,correct
data_Bang_2019_Exp1,RF_correct,0.021225557848002185,RF,correct
data_Bang_2019_Exp1,RF_correct,0.020869081836449966,RF,correct
data_Bang_2019_Exp1,RF_incorrect,0.0023158201934726937,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024031860799159296,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024299404413341977,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024360365621849227,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00245581373596034,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00242022241081286,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023722268035851705,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024066377765807907,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00236016167184894,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002337109384834271,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024367062747778024,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0025192281800985408,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002585267872930904,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002570858147171029,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0026483508305403013,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002538513254283908,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002479189469586356,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024358191594422763,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00242682390175529,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002364271501599718,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002291094032803493,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024322918647722877,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023635533553616446,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002428488356475068,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024393231588710346,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002484865636935833,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024436893459546674,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024979531979701093,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023494731541599165,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023063846585717144,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023838087622291755,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024369577632452765,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002483750433568578,RF,incorrect
