accuracy_train,accuracy_test,score_mean,score_std,ps,decoder,condition,ps_corrected,stars
correct trials,correct trials,0.6817579133975458,0.053023471696359535,4.999500049994998e-05,RF,"T-3,T-2,T-1",0.0011998800119987995,**
incorrect trials,correct trials,0.5947238222732629,0.03695657284386893,4.999500049994998e-05,SVM,"T-7,T-6,T-5",0.0011998800119987995,**
incorrect trials,correct trials,0.6624958890100386,0.05219815858582848,4.999500049994998e-05,SVM,"T-3,T-2,T-1",0.0011998800119987995,**
correct trials,incorrect trials,0.5933473466144671,0.04094440478208879,4.999500049994998e-05,SVM,"T-7,T-6,T-5",0.0011998800119987995,**
correct trials,incorrect trials,0.6481177387355088,0.05580508906580171,4.999500049994998e-05,SVM,"T-3,T-2,T-1",0.0011998800119987995,**
correct trials,correct trials,0.5954394772522719,0.03899346668459529,4.999500049994998e-05,SVM,"T-7,T-6,T-5",0.0011998800119987995,**
correct trials,correct trials,0.6637974371114683,0.05241379039431726,4.999500049994998e-05,SVM,"T-3,T-2,T-1",0.0011998800119987995,**
incorrect trials,incorrect trials,0.631497519044599,0.04142002575007917,4.999500049994998e-05,RNN,"T-7,T-6,T-5",0.0011998800119987995,**
incorrect trials,incorrect trials,0.6743944472194678,0.04572666572195954,4.999500049994998e-05,RNN,"T-3,T-2,T-1",0.0011998800119987995,**
incorrect trials,correct trials,0.5919187084741704,0.035952229711025484,4.999500049994998e-05,RNN,"T-7,T-6,T-5",0.0011998800119987995,**
incorrect trials,correct trials,0.6497166960353724,0.05349584637264434,4.999500049994998e-05,RNN,"T-3,T-2,T-1",0.0011998800119987995,**
correct trials,incorrect trials,0.593277677398868,0.041194731363384154,4.999500049994998e-05,RNN,"T-7,T-6,T-5",0.0011998800119987995,**
correct trials,incorrect trials,0.6400589137168724,0.048423130993368084,4.999500049994998e-05,RNN,"T-3,T-2,T-1",0.0011998800119987995,**
correct trials,correct trials,0.6361638420521721,0.04156222063102251,4.999500049994998e-05,RNN,"T-7,T-6,T-5",0.0011998800119987995,**
correct trials,correct trials,0.6928135700276374,0.04802704469706405,4.999500049994998e-05,RNN,"T-3,T-2,T-1",0.0011998800119987995,**
incorrect trials,incorrect trials,0.6069165850173601,0.03984455652347276,4.999500049994998e-05,RF,"T-7,T-6,T-5",0.0011998800119987995,**
incorrect trials,incorrect trials,0.6692779470320998,0.052266440818004065,4.999500049994998e-05,RF,"T-3,T-2,T-1",0.0011998800119987995,**
incorrect trials,correct trials,0.604785681862023,0.041233565413409605,4.999500049994998e-05,RF,"T-7,T-6,T-5",0.0011998800119987995,**
incorrect trials,correct trials,0.6765471513556798,0.05478662515201309,4.999500049994998e-05,RF,"T-3,T-2,T-1",0.0011998800119987995,**
correct trials,incorrect trials,0.6122515473396104,0.04235025158700968,4.999500049994998e-05,RF,"T-7,T-6,T-5",0.0011998800119987995,**
correct trials,incorrect trials,0.6727459823161948,0.052679447182328726,4.999500049994998e-05,RF,"T-3,T-2,T-1",0.0011998800119987995,**
correct trials,correct trials,0.6095264969753666,0.040248793074985634,4.999500049994998e-05,RF,"T-7,T-6,T-5",0.0011998800119987995,**
incorrect trials,incorrect trials,0.6477999493084354,0.054809618992382306,4.999500049994998e-05,SVM,"T-3,T-2,T-1",0.0011998800119987995,**
incorrect trials,incorrect trials,0.5918055187297357,0.03986960781892673,4.999500049994998e-05,SVM,"T-7,T-6,T-5",0.0011998800119987995,**
